"","scenario","ssb_below_blim_total","ssb_below_blim_iter","collapse_total","collapse_iter","fmaxed_total","fmaxed_iter","yield","rel_yield","stk_pos","stk_pos2","stock","fhist","catch_rule","TAC","options","uncertainty","perfect_knowledge","HCRmult","w","b_w","b_z","upper_constraint","lower_constraint"
"103",103,0.20192,0.978,0,0,0,0,40.4955394820424,0.743027751469183,18,3,"lin-comb","roller-coaster","3.2.1",2,"option_r:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"104",104,0.03952,0.944,0,0,0,0,37.2613333487399,0.683685291984695,18,3,"lin-comb","roller-coaster","3.2.1",2,"option_r:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"105",105,0.95562,1,0.79936,0.988,0.07694,0.988,9.92530525516779,0.182113322620703,18,3,"lin-comb","roller-coaster","3.2.1",2,"option_f:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"106",106,0.4338,0.98,0.35082,0.636,0.03348,0.56,2.41608768887515,0.0443313072446747,18,3,"lin-comb","roller-coaster","3.2.1",2,"option_f:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"107",107,0.0312,0.98,0.0036,0.14,8e-04,0.06,0.419840168639447,0.0076345577019858,18,3,"lin-comb","roller-coaster","3.2.1",2,"option_f:c","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"108",108,0.02386,0.934,0,0,0,0,17.7258579428697,0.325240866984701,18,3,"lin-comb","roller-coaster","3.2.1",2,"option_b:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"109",109,0.2616,0.872,0,0,0,0,52.1167052356756,0.717394163284625,19,4,"smn-con","roller-coaster","3.2.1",2,"option_r:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"110",110,0.13066,0.77,0.00038,0.004,1e-04,0.002,50.0399120242816,0.688806797267034,19,4,"smn-con","roller-coaster","3.2.1",2,"option_r:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"111",111,0.94434,1,0.70326,1,0.19286,1,22.5920636890794,0.310983101364695,19,4,"smn-con","roller-coaster","3.2.1",2,"option_f:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"112",112,0.00106,0.028,3e-04,0.01,0.00012,0.01,0.0516441576086841,0.000710889475239886,19,4,"smn-con","roller-coaster","3.2.1",2,"option_f:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"113",113,0.1088,0.68,0.0308,0.06,0.0114,0.06,44.5305369883806,0.605851766845737,19,4,"smn-con","roller-coaster","3.2.1",2,"option_f:c","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"114",114,0.00162,0.102,0,0,0,0,15.5926252958077,0.214634795636302,19,4,"smn-con","roller-coaster","3.2.1",2,"option_b:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"115",115,0.68404,1,0.4026,0.85,0.01692,0.752,31.1754609136605,0.345574757224289,20,5,"mut-comb","roller-coaster","3.2.1",2,"option_r:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"116",116,0.17936,0.952,0.056,0.112,0.00268,0.11,78.1060214840301,0.865792152579582,20,5,"mut-comb","roller-coaster","3.2.1",2,"option_r:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"117",117,0.03398,0.714,0.00982,0.05,0.0013,0.046,66.768822161144,0.740121198925999,20,5,"mut-comb","roller-coaster","3.2.1",2,"option_f:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"118",118,0.65158,0.984,0.5511,0.918,0.02552,0.89,21.2970483045821,0.236074209707193,20,5,"mut-comb","roller-coaster","3.2.1",2,"option_f:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"119",119,0.7058,0.98,0.587,0.94,0.0252,0.86,16.4164431333241,0.180969300757993,20,5,"mut-comb","roller-coaster","3.2.1",2,"option_f:c","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"120",120,0.0195,0.714,0.00078,0.002,6e-05,0.002,53.8161361353854,0.596542846030096,20,5,"mut-comb","roller-coaster","3.2.1",2,"option_b:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"121",121,0.47156,1,0.28602,0.996,0.03218,0.992,13.9435237619874,0.186826156312972,21,6,"tur-nsea","roller-coaster","3.2.1",2,"option_r:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
